FECHA (YYMMDD);HORA (HHMM);Temperatura (°C);
250111;1000;25,2967;
250111;1100;26,34;
250111;1200;28,46;
250111;1300;31,7075;
250111;1400;31,86;
250111;1500;32,2525;
250111;1600;31,88;
250111;1700;29,245;
250111;1800;28,2025;
250111;1900;25,4;
250111;2000;22,175;
250111;2100;20,89;
250111;2200;19,855;
250111;2300;18,9825;
250112;0000;18,03;
250112;0100;17,1725;
250112;0200;16,5475;
250112;0300;16,1925;
250112;0400;15,705;
250112;0500;15,135;
250112;0600;15,755;
250112;0700;17,3325;
250112;0800;19,605;
250112;0900;21,0925;
250112;1000;23,06;
250112;1100;25,35;
250112;1200;27,4;
250112;1300;28,15;
250112;1400;29,1175;
250112;1500;29,525;
250112;1600;29,39;
250112;1700;29,39;
250112;1800;26,7575;
250112;1900;24,535;
250112;2000;21,8775;
250112;2100;20,415;
250112;2200;19,795;
250112;2300;19,2775;
250113;0000;18,95;
250113;0100;18,465;
250113;0200;18,5575;
250113;0300;18,0975;
250113;0400;17,17;
250113;0500;16,5075;
250113;0600;16,52;
250113;0700;18,1525;
250113;0800;19,175;
250113;0900;21,4875;
250113;1000;23,79;
250113;1100;25,3475;
250113;1200;25,4567;
250113;1300;25,7875;
250113;1400;25,1375;
250113;1500;25,8275;
250113;1600;26,0075;
250113;1700;25,0225;
250113;1800;23,2725;
250113;1900;20,4825;
250113;2000;17,43;
250113;2100;16,4425;
250113;2200;15,7875;
250113;2300;15,2075;
250114;0000;14,6;
250114;0100;14,0975;
250114;0200;13,9975;
250114;0300;13,3475;
250114;0400;12,32;
250114;0500;11,515;
250114;0600;11,995;
250114;0700;14,0725;
250114;0800;16,3975;
250114;0900;18,0075;
250114;1000;20,275;
250114;1100;22,2;
250114;1200;22,5375;
250114;1300;23,8925;
250114;1400;24,56;
250114;1500;24,205;
250114;1600;23,2125;
250114;1700;21,39;
250114;1800;20,27;
250114;1900;19,645;
250114;2000;18,485;
250114;2100;17,9925;
250114;2200;17,6275;
250114;2300;17,82;
250115;0000;17,2875;
250115;0100;16,8225;
250115;0200;16,75;
250115;0300;16,235;
250115;0400;15,83;
250115;0500;15,7825;
250115;0600;16,03;
250115;0700;16,3775;
250115;0800;16,8675;
250115;0900;17,39;
250115;1000;17,8175;
250115;1100;18,3025;
250115;1200;18,71;
250115;1300;19,015;
250115;1400;18,755;
250115;1500;18,5225;
250115;1600;19,5125;
250115;1700;20,04;
250115;1800;20,9625;
250115;1900;19,59;
250115;2000;17,7425;
250115;2100;17,15;
250115;2200;16,5475;
250115;2300;16,24;
250116;0000;15,755;
250116;0100;15,765;
250116;0200;15,5275;
250116;0300;15,27;
250116;0400;14,5225;
250116;0500;14,2375;
250116;0600;14,3275;
250116;0700;16,7875;
250116;0800;18,3825;
250116;0900;19,715;
250116;1000;21,985;
250116;1100;24,065;
250116;1200;24,915;
250116;1300;24,215;
250116;1400;23,34;
250116;1500;24,125;
250116;1600;23,795;
250116;1700;23,6075;
250116;1800;22,5375;
250116;1900;20,64;
250116;2000;18,4075;
250116;2100;17,0625;
250116;2200;16,2675;
250116;2300;15,42;
250117;0000;14,735;
250117;0100;13,8175;
250117;0200;12,975;
250117;0300;12,445;
250117;0400;11,9775;
250117;0500;11,615;
250117;0600;12,0375;
250117;0700;14,6575;
250117;0800;16,4325;
250117;0900;18,3825;
250117;1000;20,5575;
250117;1100;21,895;
250117;1200;23,0825;
250117;1300;25,035;
250117;1400;25,9125;
250117;1500;25,6625;
250117;1600;25,3675;
250117;1700;24,0775;
250117;1800;22,8425;
250117;1900;20,5925;
250117;2000;18,195;
250117;2100;16,7075;
250117;2200;16,1325;
250117;2300;15,3;
250118;0000;14,7133;
250118;0100;14,0125;
250118;0200;13,69;
250118;0300;13,3975;
250118;0400;13,0475;
250118;0500;13,07;
250118;0600;13,665;
250118;0700;14,83;
250118;0800;18,1375;
250118;0900;20,9675;
250118;1000;23,08;
250118;1100;25,2525;
250118;1200;27,0275;
250118;1300;26,5625;
250118;1400;28,0875;
250118;1500;27,995;
250118;1600;26,6325;
250118;1700;25,67;
250118;1800;23,99;
250118;1900;21,735;
250118;2000;18,6575;
250118;2100;17,41;
250118;2200;16,3675;
250118;2300;15,5875;
250119;0000;15,4;
250119;0100;15,525;
250119;0200;15,055;
250119;0300;14,7633;
250119;0400;14,73;
250119;0500;14,2025;
250119;0600;13,845;
250119;0700;15,9625;
250119;0800;18,9475;
250119;0900;21,4625;
250119;1000;24,26;
250119;1100;27,54;
250119;1200;30,21;
250119;1300;29,7175;
250119;1400;29,7933;
250119;1500;30,2825;
250119;1600;29,885;
250119;1700;27,775;
250119;1800;24,7475;
250119;1900;22,7325;
250119;2000;21,6725;
250119;2100;19,85;
250119;2200;18,885;
250119;2300;17,8975;
250120;0000;17,07;
250120;0100;16,025;
250120;0200;15,0775;
250120;0300;14,41;
250120;0400;13,6025;
250120;0500;12,9225;
250120;0600;13,2;
250120;0700;15,275;
250120;0800;16,7775;
250120;0900;19,3225;
250120;1000;21,295;
250120;1100;22,9475;
250120;1200;24,49;
250120;1300;26,22;
250120;1400;26,325;
250120;1500;26,725;
250120;1600;26,0925;
250120;1700;24,3325;
250120;1800;22,5775;
250120;1900;21,7875;
250120;2000;20,13;
250120;2100;19,5575;
250120;2200;19,215;
250120;2300;18,9225;
250121;0000;18,39;
250121;0100;17,87;
250121;0200;17,915;
250121;0300;17,0275;
250121;0400;16,9225;
250121;0500;16,7133;
250121;0600;16,965;
250121;0700;17,565;
250121;0800;19,86;
250121;0900;19,93;
250121;1000;21,4225;
250121;1100;23,6025;
250121;1200;23,93;
250121;1300;23,37;
250121;1400;23,305;
250121;1500;23,8225;
250121;1600;23,235;
250121;1700;22,0975;
250121;1800;21,5625;
250121;1900;20,165;
250121;2000;17,8725;
250121;2100;17,08;
250121;2200;16,1725;
250121;2300;15,3925;
250122;0000;14,4375;
250122;0100;14,16;
250122;0200;13,7225;
250122;0300;13,2825;
250122;0400;12,605;
250122;0500;12,14;
250122;0600;12,625;
250122;0700;14,06;
250122;0800;15,9625;
250122;0900;17,97;
250122;1000;20,4875;
250122;1100;21,615;
250122;1200;20,795;
250122;1300;19,9125;
250122;1400;19,595;
250122;1500;19,3675;
250122;1600;19,4467;
250122;1700;19,5275;
250122;1800;;
250122;1900;;
250122;2000;;
250122;2100;15,46;
250122;2200;14,705;
250122;2300;13,79;
250123;0000;13,7375;
250123;0100;14,42;
250123;0200;14,5825;
250123;0300;14,6875;
250123;0400;14,3125;
250123;0500;14,355;
250123;0600;15,0675;
250123;0700;15,765;
250123;0800;16,2675;
250123;0900;16,7025;
250123;1000;16,9725;
250123;1100;18,07;
250123;1200;20,4225;
250123;1300;23,24;
250123;1400;23,6075;
250123;1500;22,3325;
250123;1600;21,865;
250123;1700;21,225;
250123;1800;20,09;
250123;1900;18,275;
250123;2000;17,39;
250123;2100;16,79;
250123;2200;16,2725;
250123;2300;16,155;
250124;0000;15,425;
250124;0100;14,4475;
250124;0200;13,5825;
250124;0300;12,8;
250124;0400;12,67;
250124;0500;12,3375;
250124;0600;12,5575;
250124;0700;14,3475;
250124;0800;17,7175;
250124;0900;20,055;
250124;1000;22,2975;
250124;1100;24,7075;
250124;1200;25,63;
250124;1300;25,82;
250124;1400;25,38;
250124;1500;25,2925;
250124;1600;24,7575;
250124;1700;24,1725;
250124;1800;23,27;
250124;1900;21,1975;
250124;2000;18,975;
250124;2100;18,03;
250124;2200;16,9933;
250124;2300;16,0725;
250125;0000;15,2925;
250125;0100;14,5325;
250125;0200;13,995;
250125;0300;13,51;
250125;0400;12,6675;
250125;0500;11,7825;
250125;0600;11,6933;
250125;0700;14,335;
250125;0800;16,61;
250125;0900;20,2975;
250125;1000;23,3025;
250125;1100;24,36;
250125;1200;25,1075;
250125;1300;26,485;
250125;1400;28,0525;
250125;1500;28,2925;
250125;1600;28,665;
250125;1700;27,0625;
250125;1800;25,84;
250125;1900;23,51;
250125;2000;20,6075;
250125;2100;19,325;
250125;2200;18,3275;
250125;2300;17,08;
250126;0000;16,5025;
250126;0100;15,84;
250126;0200;14,78;
250126;0300;14,295;
250126;0400;13,695;
250126;0500;13,1725;
250126;0600;13,07;
250126;0700;14,8833;
250126;0800;17,5325;
250126;0900;19,6175;
250126;1000;21,76;
250126;1100;23,4375;
250126;1200;23,16;
250126;1300;23,1075;
250126;1400;23,8925;
250126;1500;22,97;
250126;1600;22,805;
250126;1700;22,0325;
250126;1800;21,3275;
250126;1900;19,8175;
250126;2000;18,4425;
250126;2100;18,595;
250126;2200;18,185;
250126;2300;17,575;
250127;0000;18,0225;
250127;0100;18,11;
250127;0200;17,8475;
250127;0300;17,4175;
250127;0400;16,59;
250127;0500;16,8675;
250127;0600;17,3525;
250127;0700;17,7375;
250127;0800;19,8925;
250127;0900;21,56;
250127;1000;22,895;
250127;1100;24,67;
250127;1200;24,885;
250127;1300;25,6525;
250127;1400;26,1775;
250127;1500;25,4575;
250127;1600;25,36;
250127;1700;25,15;
250127;1800;24,26;
250127;1900;21,4275;
250127;2000;19,0525;
250127;2100;17,75;
250127;2200;17,0975;
250127;2300;17,73;
250128;0000;17,475;
250128;0100;16,9925;
250128;0200;15,02;
250128;0300;13,645;
250128;0400;12,4875;
250128;0500;11,455;
250128;0600;11,305;
250128;0700;13,8675;
250128;0800;16,91;
250128;0900;19,18;
250128;1000;22,6075;
250128;1100;25,8925;
250128;1200;28,76;
250128;1300;29,9075;
250128;1400;30,1625;
250128;1500;29,6875;
250128;1600;29,2525;
250128;1700;28,5875;
250128;1800;27,34;
250128;1900;23,1625;
250128;2000;20,7725;
250128;2100;19,1225;
250128;2200;17,91;
250128;2300;16,72;
250129;0000;15,945;
250129;0100;15,3625;
250129;0200;15,44;
250129;0300;15,1975;
250129;0400;14,3625;
250129;0500;13,875;
250129;0600;13,775;
250129;0700;15,7625;
250129;0800;18,5575;
250129;0900;21,5825;
250129;1000;24,5475;
250129;1100;24,8475;
250129;1200;26,4075;
250129;1300;28,3925;
250129;1400;28,9;
250129;1500;28,865;
250129;1600;27,8475;
250129;1700;27,4225;
250129;1800;26,2575;
250129;1900;22,9325;
250129;2000;20,325;
250129;2100;18,7675;
250129;2200;17,645;
