FECHA (YYMMDD);HORA (HHMM);Direccion Viento (grados);
250109;1200;305,731;
250109;1300;305,931;
250109;1400;210,267;
250109;1500;200,694;
250109;1600;207,648;
250109;1700;198,037;
250109;1800;153,094;
250109;1900;142,687;
250109;2000;131,935;
250109;2100;111,8;
250109;2200;31,4185;
250109;2300;53,0201;
250110;0000;98,6431;
250110;0100;138,262;
250110;0200;99,7996;
250110;0300;56,6791;
250110;0400;122,212;
250110;0500;128,285;
250110;0600;133,718;
250110;0700;140,786;
250110;0800;189,232;
250110;0900;234,759;
250110;1000;256,748;
250110;1100;287,881;
250110;1200;285,248;
250110;1300;268,006;
250110;1400;243,895;
250110;1500;243,247;
250110;1600;147,14;
250110;1700;132,196;
250110;1800;123,489;
250110;1900;143,599;
250110;2000;139,956;
250110;2100;118,849;
250110;2200;280,73;
250110;2300;280,199;
250111;0000;96,5961;
250111;0100;106,914;
250111;0200;136,559;
250111;0300;127,767;
250111;0400;138,233;
250111;0500;118,37;
250111;0600;157,379;
250111;0700;133,486;
250111;0800;141,531;
250111;0900;190,579;
250111;1000;200,271;
250111;1100;291,273;
250111;1200;281,411;
250111;1300;201,309;
250111;1400;191,702;
250111;1500;192,926;
250111;1600;200,995;
250111;1700;208,501;
250111;1800;147,697;
250111;1900;146,173;
250111;2000;137,269;
250111;2100;99,7495;
250111;2200;328,315;
250111;2300;323,054;
250112;0000;328,363;
250112;0100;336,42;
250112;0200;336,966;
250112;0300;342,099;
250112;0400;18,2912;
250112;0500;47,8297;
250112;0600;354,997;
250112;0700;337,415;
250112;0800;279,446;
250112;0900;306,085;
250112;1000;312,004;
250112;1100;309,614;
250112;1200;326,156;
250112;1300;310,241;
250112;1400;301,335;
250112;1500;275,704;
250112;1600;231,548;
250112;1700;209,77;
250112;1800;204,405;
250112;1900;209,419;
250112;2000;106,661;
250112;2100;109,545;
250112;2200;122,358;
250112;2300;49,6559;
250113;0000;61,0553;
250113;0100;135,492;
250113;0200;130,562;
250113;0300;117,4;
250113;0400;138,327;
250113;0500;137,169;
250113;0600;141,72;
250113;0700;178,754;
250113;0800;188,983;
250113;0900;185,995;
250113;1000;203,007;
250113;1100;233,123;
250113;1200;308,694;
250113;1300;293,186;
250113;1400;242,086;
250113;1500;235,668;
250113;1600;222,679;
250113;1700;212,961;
250113;1800;188,164;
250113;1900;217,62;
250113;2000;155,322;
250113;2100;125,479;
250113;2200;119,334;
250113;2300;103,639;
250114;0000;77,844;
250114;0100;103,535;
250114;0200;142,463;
250114;0300;102,86;
250114;0400;91,8239;
250114;0500;97,8925;
250114;0600;100,304;
250114;0700;165,498;
250114;0800;203,651;
250114;0900;286,922;
250114;1000;317,073;
250114;1100;318,659;
250114;1200;334,924;
250114;1300;266,969;
250114;1400;245,023;
250114;1500;264,586;
250114;1600;238,25;
250114;1700;246,464;
250114;1800;278,92;
250114;1900;282,845;
250114;2000;313,038;
250114;2100;324,451;
250114;2200;324,047;
250114;2300;332,429;
250115;0000;310,539;
250115;0100;305,503;
250115;0200;316,106;
250115;0300;324,279;
250115;0400;308,575;
250115;0500;309,771;
250115;0600;304,96;
250115;0700;305,89;
250115;0800;304,235;
250115;0900;313,06;
250115;1000;311,811;
250115;1100;312,973;
250115;1200;319,334;
250115;1300;320,861;
250115;1400;314,361;
250115;1500;310,964;
250115;1600;316,862;
250115;1700;297,617;
250115;1800;262,802;
250115;1900;226,665;
250115;2000;216,674;
250115;2100;335,557;
250115;2200;103,102;
250115;2300;125,186;
250116;0000;130,807;
250116;0100;100,56;
250116;0200;94,6748;
250116;0300;66,1576;
250116;0400;10,2531;
250116;0500;95,9333;
250116;0600;106,332;
250116;0700;152,51;
250116;0800;184,039;
250116;0900;190,47;
250116;1000;199,557;
250116;1100;202,859;
250116;1200;213,426;
250116;1300;237,765;
250116;1400;244,899;
250116;1500;224,111;
250116;1600;210,616;
250116;1700;213,595;
250116;1800;210,168;
250116;1900;208,665;
250116;2000;155,366;
250116;2100;149,641;
250116;2200;148,71;
250116;2300;102,272;
250117;0000;83,0103;
250117;0100;96,129;
250117;0200;77,8167;
250117;0300;78,267;
250117;0400;84,0933;
250117;0500;104,355;
250117;0600;85,1013;
250117;0700;177,519;
250117;0800;221,865;
250117;0900;240,75;
250117;1000;241,203;
250117;1100;275,909;
250117;1200;302,329;
250117;1300;211,921;
250117;1400;211,618;
250117;1500;203,52;
250117;1600;203,791;
250117;1700;210,839;
250117;1800;211,852;
250117;1900;243,203;
250117;2000;262,927;
250117;2100;147,728;
250117;2200;104,608;
250117;2300;108,355;
250118;0000;113,92;
250118;0100;114,524;
250118;0200;137,053;
250118;0300;148,146;
250118;0400;165,245;
250118;0500;169,264;
250118;0600;142,805;
250118;0700;176,54;
250118;0800;180,903;
250118;0900;182,049;
250118;1000;210,22;
250118;1100;215,086;
250118;1200;243,582;
250118;1300;292,653;
250118;1400;202,995;
250118;1500;206,628;
250118;1600;203,364;
250118;1700;202,419;
250118;1800;207,083;
250118;1900;211,081;
250118;2000;138,958;
250118;2100;115,703;
250118;2200;122,696;
250118;2300;115,088;
250119;0000;142,704;
250119;0100;148,736;
250119;0200;134,222;
250119;0300;144,295;
250119;0400;152,097;
250119;0500;143,659;
250119;0600;127,459;
250119;0700;144,952;
250119;0800;146,516;
250119;0900;166,105;
250119;1000;189,021;
250119;1100;178,17;
250119;1200;176,768;
250119;1300;249,784;
250119;1400;187,968;
250119;1500;204,588;
250119;1600;138,424;
250119;1700;143,521;
250119;1800;140,287;
250119;1900;180,411;
250119;2000;303,836;
250119;2100;320,834;
250119;2200;331,041;
250119;2300;312,757;
250120;0000;6,54752;
250120;0100;75,751;
250120;0200;9,59084;
250120;0300;322,361;
250120;0400;300,848;
250120;0500;352,936;
250120;0600;13,2581;
250120;0700;340,155;
250120;0800;254,058;
250120;0900;281,351;
250120;1000;296,737;
250120;1100;308,809;
250120;1200;310,819;
250120;1300;247,595;
250120;1400;240,162;
250120;1500;214,992;
250120;1600;215,28;
250120;1700;136,05;
250120;1800;300,886;
250120;1900;90,2581;
250120;2000;66,9285;
250120;2100;85,6013;
250120;2200;114,698;
250120;2300;107,79;
250121;0000;133,009;
250121;0100;128,029;
